	Location	Prices_per_year (₦ or $)	Bedrooms	Baths	Toilets
2801	Ijesha Surulere Lagos	₦ 400,000	0.0	1.0	1.0
2802	Ss Philip & James Chevron Lekki Lagos	₦ 3,500,000	2.0	2.0	3.0
2803	Ikate Lekki Lagos	₦ 3,500,000	3.0	3.0	4.0
2804	Harris Drive Vgc Lekki Lagos	₦ 1,200,000	0.0	0.0	0.0
2805	Sangotedo Ajah Lagos	₦ 2,500,000	3.0	3.0	4.0
2806	Ago Palace Okota Lagos	₦ 1,500,000	2.0	2.0	3.0
2807	Ivy Homes Estate Orchid Roundabout Lekki Lagos	₦ 1,000,000	1.0	1.0	1.0
2808	Old Ikoyi Ikoyi Lagos	₦ 16,000,000	4.0	4.0	4.0
2809	Alagomeji Yaba Lagos	₦ 3,500,000	3.0	4.0	4.0
2810	Governors Road Ikotun Igando Lagos	₦ 1,000,000	2.0	3.0	3.0
2811	Lekki Phase 1 Lekki Lagos	₦ 3,000,000	1.0	1.0	1.0
2812	Lekki Phase 1 Lekki Lagos	₦ 8,000,000	3.0	3.0	4.0
2813	Abijo Gra Sangotedo Ajah Lagos	₦ 500,000	0.0	0.0	0.0
2814	Lekki Phase 1 Lekki Phase 1 Lekki Lagos	₦ 1,600,000	0.0	0.0	0.0
2815	Aguda Surulere Lagos	₦ 2,500,000	3.0	3.0	3.0
2816	Off Olateju Ikorodu Road(ilupeju) Ilupeju Lagos	₦ 400,000	0.0	0.0	0.0
2817	Sangotedo Ajah Lagos	₦ 800,000	1.0	1.0	2.0
2818	Lekki Phase 1 Lekki Lagos	₦ 25,000,000	5.0	5.0	6.0
2819	Ikota Villa Estate Lekki Lagos	₦ 1,500,000	0.0	0.0	0.0
2820	Sabo Yaba Lagos	₦ 2,500,000	3.0	3.0	3.0
2821	Alpha Beach Side Igbo Efon Lekki Lagos	₦ 2,500,000	2.0	2.0	2.0
2822	Lekki Phase 1 Lekki Lagos	₦ 1,500,000	1.0	1.0	1.0
2823	Amuwo Odofin Lagos	₦ 2,700,000	3.0	3.0	4.0
2824	Lekki Phase 1 Lekki Lagos	₦ 1,500,000	1.0	1.0	1.0
2825	Olokonla Bus Stop Ajah Lagos	₦ 1,300,000	1.0	1.0	1.0
2826	Ilaje Ajah Lagos	₦ 650,000	1.0	1.0	1.0
2827	Off Lawanson Road Surulere Lagos	₦ 500,000	0.0	0.0	0.0
2828	Iponri Surulere Lagos	₦ 600,000	0.0	1.0	1.0
2829	Oke Ira Ajayi Road Ogba Lagos	₦ 650,000	1.0	1.0	1.0
2830	Orchid Hotel Road Oral Estate Lekki Lagos	₦ 2,500,000	2.0	2.0	3.0
2831	Ago Palace Okota Lagos	₦ 1,800,000	2.0	2.0	3.0
2832	Millenuim Ups Gbagada Lagos	₦ 3,000,000	2.0	2.0	3.0
2833	Adeniyi Jones Ikeja Lagos	₦ 1,200,000	1.0	1.0	1.0
2834	Giwa Oke Aro Iju Ishaga Agege Lagos	₦ 350,000	2.0	0.0	0.0
2835	Mafoluku Oshodi Lagos	₦ 500,000	1.0	1.0	1.0
2836	Oshogun Street Ketu Lagos	₦ 700,000	1.0	2.0	2.0
