	Location	Prices_per_year (₦ or $)	Bedrooms	Baths	Toilets
0	Banana Island Road, Ikoyi Lagos	₦ 25,000,000	3.0	3.0	3.0
1	Ikate Lekki Lagos	₦ 6,000,000	2.0	2.0	3.0
2	Old Ikoyi Ikoyi Lagos	₦ 27,000,000	3.0	3.0	4.0
3	Old Ikoyi Ikoyi Lagos	₦ 23,000,000	3.0	3.0	4.0
4	Ikate Lekki Lagos	₦ 6,000,000	2.0	2.0	3.0
5	Ikate Lekki Lagos	₦ 7,000,000	2.0	2.0	3.0
6	Banana Island Banana Island Ikoyi Lagos	₦ 60,000,000	4.0	4.0	5.0
7	Ikate Ilasan Lekki Lagos	₦ 1,700,000	1.0	1.0	2.0
8	Lekki Phase 1 Lekki Lagos	₦ 2,000,000	1.0	1.0	1.0
9	Off Christ Avenue Off Admiralty Road Lekki Phase 1 Lekki Lagos	₦ 7,000,000	2.0	2.0	3.0
10	No. 27 Alexandria Street Wuse 2 Abuja	₦ 50,000,000			
11	Lekki Phase 1 Lekki Lagos	₦ 10,000,000	2.0	2.0	3.0
12	Freedom Way Lekki Phase 1 Lekki Lagos	₦ 5,000,000	2.0	2.0	3.0
13	Lekki Phase 2 Lekki Lagos	₦ 1,800,000	3.0	3.0	3.0
14	Lekki Phase 1 Lekki Lagos	₦ 1,500,000	1.0	1.0	1.0
15	Lekki Lagos	₦ 1,200,000	0.0	1.0	1.0
16	Lekki Phase 1 Lekki Lagos	₦ 1,800,000	1.0	1.0	1.0
17	Iwaya Yaba Lagos	₦ 2,000,000	3.0	4.0	4.0
18	Ajah Lagos	₦ 750,000	1.0	1.0	2.0
19	Oniru Victoria Island Lagos	₦ 3,000,000	2.0	2.0	3.0
20	Atlantic View Estate Igbo Efon Lekki Lagos	₦ 3,000,000	3.0	3.0	4.0
21	Agungi Lekki Lagos	₦ 3,300,000	3.0	3.0	4.0
22	Ikate Lekki Ikate Lekki Lagos	₦ 6,000,000	2.0	2.0	3.0
23	Inside An Estate Agungi Lekki Agungi Lekki Lagos	₦ 1,200,000	1.0	1.0	0.0
24	Lekki Phase 1 Lekki Lagos	₦ 3,000,000	1.0	1.0	2.0
25	Lekki Phase 1 Lekki Lagos	₦ 2,500,000	1.0	1.0	1.0
26	Chevron Lekki Lagos	₦ 2,200,000	1.0	1.0	1.0
27	Ikate Lekki Lagos	₦ 1,000,000	0.0	1.0	1.0
28	Banana Island Ikoyi Lagos	₦ 20,000,000	3.0	3.0	4.0
29	Chevron Lekki Lagos	₦ 4,500,000	3.0	3.0	4.0
30	Lekki Phase 1 Lekki Lagos	₦ 4,500,000	1.0	1.0	2.0
31	Banana Island Ikoyi Lagos	₦ 12,000,000	2.0	2.0	3.0
32	Jakande Lekki Lagos	₦ 2,500,000	2.0	2.0	3.0
33	Jakande Lekki Lagos	₦ 2,700,000	2.0	2.0	3.0
34	Ikate Lekki Lagos	₦ 2,000,000	2.0	2.0	3.0
35	Lekki Phase 1 Lekki Phase 1 Lekki Lagos	₦ 25,000,000	6.0	6.0	7.0
36	Lekki Phase 1 Lekki Lagos	₦ 10,000,000	3.0	3.0	4.0
37	Chevron Lekki Lagos	₦ 1,500,000	0.0	1.0	1.0
38	Lekki Phase 1 Lekki Lagos	₦ 2,500,000	0.0	1.0	1.0
39	Lekki Phase 1 Lekki Phase 1 Lekki Lagos	₦ 8,000,000	4.0	4.0	5.0
40	Chevron Lekki Lagos	₦ 3,250,000	2.0	2.0	3.0
41	Ikate Lekki Lagos	₦ 1,200,000	0.0	1.0	1.0
42	Off Ozumba Mbadiwe Victoria Island Lagos	₦ 10,000,000	4.0	4.0	5.0
43	Banana Island Ikoyi Lagos	₦ 15,000,000	1.0	1.0	1.0
44	Adebola Ojomu Str, Surulere Lagos	₦ 1,500,000	2.0	2.0	2.0
45	Lekki Phase 2 Lekki Lagos	₦ 1,100,000	0.0	1.0	1.0
46	Chevron Lekki Lagos	₦ 2,000,000	1.0	1.0	1.0
47	Banana Island Estate Ikoyi Lagos	₦ 15,000,000	3.0	3.0	4.0
48	Old Ikoyi Ikoyi Lagos	₦ 32,000,000	3.0	3.0	4.0
49	Ago Palace Okota Lagos	₦ 1,500,000	4.0	0.0	0.0
50	Xtadoc Estate Ado Ajah Lagos	₦ 2,000,000	2.0	3.0	3.0
51	Oniru Estate Victoria Island Lagos	₦ 9,000,000	2.0	2.0	3.0
52	Central Ikoyi Ikoyi Lagos	$ 99,500	4.0	4.0	4.0
53	Aguda Surulere Lagos	₦ 2,500,000	3.0	0.0	0.0
54	Bucknor Isolo Lagos	₦ 700,000	1.0	1.0	1.0
55	Ago Palace Okota Lagos	₦ 1,200,000	2.0	0.0	0.0
56	Amuwo Odofin Lagos	₦ 3,000,000	2.0	2.0	3.0
57	Amuwo Odofin Lagos	₦ 2,000,000	3.0	0.0	0.0
58	Off Randle Ojuelegba Surulere Lagos	₦ 3,500,000	3.0	3.0	4.0
59	Off Bode Thomas Surulere Lagos	₦ 2,500,000	3.0	0.0	0.0
60	Amuwo Odofin Lagos	₦ 2,500,000	2.0	0.0	0.0
61	Greenville Estate Badore Ajah Lagos	₦ 900,000	2.0	3.0	3.0
62	Lakeview Estate Amuwo Odofin Lagos	₦ 60,000,000	3.0	4.0	4.0
63	Akoka Yaba Lagos	₦ 750,000	1.0	0.0	0.0
64	Old Ikoyi Ikoyi Lagos	$ 50,000	4.0	3.0	4.0
65	Old Ikoyi Ikoyi Lagos	$ 100,000	4.0	4.0	5.0
66	Orchid Lekki Lagos Lekki Phase 2 Lekki Lagos	₦ 2,500,000	3.0	3.0	4.0
67	Ago Palace Okota Lagos	₦ 1,400,000	2.0	2.0	3.0
68	Old Ikoyi Old Ikoyi Ikoyi Lagos	$ 110,000	5.0	5.0	6.0
69	Old Ikoyi Ikoyi Lagos	₦ 15,000,000	4.0	4.0	5.0
70	Banana Island Ikoyi Lagos	₦ 32,000,000	3.0	3.0	4.0
71	Ikoyi Lagos	₦ 12,000,000	3.0	3.0	4.0
72	Old Ikoyi Ikoyi Lagos	₦ 25,000,000	3.0	3.0	4.0
73	Old Ikoyi Old Ikoyi Ikoyi Lagos	₦ 23,000,000	4.0	4.0	5.0
74	Banana Island Ikoyi Lagos	₦ 18,000,000	3.0	3.0	4.0
75	Surulere Lagos	₦ 2,500,000	2.0	0.0	0.0
76	Ago Palace Okota Lagos	₦ 2,000,000	3.0	3.0	3.0
77	Palm Cresent Estate Badore Ajah Lagos	₦ 700,000	1.0	1.0	1.0
78	Unity Estate Badore Ajah Lagos	₦ 700,000	1.0	2.0	2.0
79	Greenville Estate Badore Ajah Lagos	₦ 500,000	1.0	0.0	0.0
80	Off Admiralty Way Lekki Phase 1 Lekki Lagos	₦ 9,000,000	2.0	3.0	3.0
81	Ikoyi Lagos	₦ 15,000,000	3.0	3.0	4.0
82	Banana Island Ikoyi Lagos	₦ 16,500,000	3.0	3.0	4.0
83	Gerard Road Ikoyi Lagos	₦ 14,000,000	3.0	3.0	4.0
84	Amuwo Odofin Lagos	₦ 1,800,000	2.0		
85	Silverpoint Badore Ajah Lagos	₦ 1,500,000	2.0	3.0	3.0
86	Off Nike Art Gallery Road Ikate Lekki Lagos	₦ 10,000,000	2.0	2.0	3.0
87	Ire Akari Isolo Lagos	₦ 35,500,000	2.0	2.0	3.0
88	Ago Palace Okota Lagos	₦ 1,500,000	2.0	0.0	0.0
89	Surulere Lagos	₦ 3,500,000	3.0	3.0	4.0
90	Adeola Odeku Victoria Island Lagos	₦ 17,000,000	3.0	3.0	4.0
91	Bucknor Isolo Lagos	₦ 600,000	1.0	1.0	1.0
92	Greenville Estate Badore Ajah Lagos	₦ 800,000	2.0	3.0	3.0
93	Kilo Marsha Surulere Lagos	₦ 2,000,000	2.0	0.0	0.0
94	Unity Estate Badore Ajah Lagos	₦ 500,000	0.0	0.0	0.0
95	Greenville Estate Badore Ajah Lagos	₦ 650,000	1.0		
96	Banana Island Estate Banana Island Ikoyi Lagos	₦ 18,000,000	3.0	3.0	3.0
97	Banana Island Ikoyi Lagos	₦ 22,000,000	3.0	3.0	4.0
98	Amuwo Odofin Lagos	₦ 1,500,000	2.0	0.0	0.0
99	Ikate Lekki Lagos Lekki Lagos	₦ 3,500,000	2.0	2.0	3.0
100	Orchid Lekki Lagos Lekki Phase 2 Lekki Lagos	₦ 2,600,000	3.0	3.0	4.0
101	Aguda Coker Surulere Lagos	₦ 1,800,000	3.0	0.0	0.0
102	Unity Estate Badore Ajah Lagos	₦ 700,000	2.0	2.0	2.0
103	Banana Island Estate Ikoyi Lagos	₦ 20,000,000	3.0	3.0	4.0
104	Ikate Lekki Phase 2 Lekki Lagos	₦ 6,000,000	2.0	2.0	2.0
105	Ikoyi Lagos	₦ 22,000,000			
106	Old Ikoyi Ikoyi Lagos	₦ 25,000,000	4.0	4.0	5.0
107	Banana Island Ikoyi Lagos	₦ 13,000,000	2.0	1.0	2.0
108	Even Estate Ado Roundabout Ado Ajah Lagos	₦ 1,500,000	2.0	3.0	3.0
109	Ago Palace Okota Lagos	₦ 1,300,000	3.0	0.0	0.0
110	Jakande Estate Isolo Lagos	₦ 700,000	2.0		
111	Kilo Marsha Surulere Lagos	₦ 3,000,000	3.0	3.0	3.0
112	Ikoyi Lagos	₦ 12,000,000	2.0	2.0	3.0
113	Off Nnobi Kilo Marsha Surulere Lagos	₦ 1,100,000	1.0	1.0	2.0
114	Naf Valley Estate Asokoro Abuja Diplomatic Zone Asokoro Abuja	₦ 20,000,000	4.0	5.0	5.0
115	Ikoyi Ikoyi Lagos	₦ 25,000,000	4.0	4.0	5.0
116	Old Ikoyi Ikoyi Lagos	₦ 10,000,000	3.0	3.0	4.0
117	Greenville Estate Badore Ajah Lagos	₦ 1,000,000	2.0	3.0	3.0
118	Estate Banana Island Ikoyi Lagos	₦ 22,000,000	2.0	2.0	3.0
119	Banana Island Ikoyi Lagos	₦ 18,000,000	3.0	3.0	4.0
120	Osapa Lekki Lagos Osapa London Lekki Lagos	₦ 5,000,000	3.0	3.0	4.0
121	Jakunde Lekki Lagos Lekki Phase 2 Lekki Lagos	₦ 6,000,000	3.0	3.0	4.0
122	Jakande Axis Ikate Lekki Lagos	₦ 5,500,000	3.0	3.0	4.0
123	Ikate Lekki Lagos	₦ 11,000,000	2.0	2.0	3.0
124	Banana Island Ikoyi Lagos	₦ 18,000,000	3.0	3.0	4.0
125	Olowora Ojodu Lagos	₦ 1,200,000	1.0	0.0	0.0
126	Off College Road Ogba Lagos	₦ 2,000,000	3.0	0.0	0.0
127	Lawanson Surulere Lagos	₦ 1,500,000	2.0	0.0	0.0
128	Oke Ira Ogba Lagos	₦ 1,600,000	2.0	0.0	0.0
129	Iwaya Bariga Lagos	₦ 2,500,000	3.0	0.0	0.0
130	Ishaga, Lawanson Bus Stop Surulere Lagos	₦ 1,000,000	0.0	0.0	0.0
131	Berger Ojodu Lagos	₦ 1,000,000	0.0	0.0	0.0
132	Ikola Ipaja Lagos	₦ 400,000	2.0	0.0	0.0
133	Lekki Phase 1 Lekki Lagos	₦ 12,000,000	4.0	4.0	5.0
134	Ayobo Ipaja Lagos	₦ 650,000	2.0	0.0	0.0
135	Palmgroove Shomolu Lagos	₦ 700,000	1.0	0.0	0.0
136	Haruna Off College Road Ogba Lagos	₦ 500,000	0.0	0.0	0.0
137	Fola Agoro Yaba Lagos	₦ 700,000	0.0	0.0	0.0
138	Oke Ira Ogba Lagos	₦ 2,500,000	2.0	0.0	0.0
139	Command, Whitehouse Ipaja Lagos	₦ 400,000	1.0	0.0	0.0
140	Abesan Estate Ipaja Lagos	₦ 400,000	0.0	0.0	0.0
141	Ishola Abass Street, Aboru Iyana Ipaja Ipaja Lagos	₦ 650,000	1.0	0.0	0.0
142	Ayobo Ipaja Lagos	₦ 350,000	0.0	0.0	0.0
143	Egbeda Alimosho Lagos	₦ 500,000	0.0	0.0	0.0
144	Pius Eze Estate, Aboru Iyana Ipaja Ipaja Lagos	₦ 300,000	1.0	0.0	0.0
145	Royal Pine Estate Orchid Chevron Lekki Lagos	₦ 1,100,000	1.0	1.0	1.0
146	Banana Island Ikoyi Lagos	₦ 20,000,000	3.0	3.0	4.0
147	Ikoyi Lagos	₦ 30,000,000	4.0	4.0	5.0
148	Victoria Island Lagos	₦ 12,000,000	3.0	3.0	4.0
149	Ikoyi Lagos	$ 25,000,000	3.0	3.0	4.0
150	Ikoyi Lagos	₦ 18,000,000	3.0	3.0	4.0
151	Banana Island Ikoyi Lagos	₦ 20,000,000	3.0	3.0	4.0
152	Ikate Lekki Lagos	₦ 10,000,000	2.0	2.0	3.0
153	Ikate Lekki Lagos	₦ 5,500,000	2.0	2.0	3.0
154	Diamond Brick Homes Chevron Lekki Lagos	₦ 1,600,000	1.0	1.0	1.0
155	Harris Drive Beside Vgc Vgc Lekki Lagos	₦ 3,000,000	2.0	2.0	3.0
156	Old Ikoyi Ikoyi Lagos	₦ 11,000,000	4.0	4.0	4.0
157	Palmgroove Ikorodu Road(ilupeju) Ilupeju Lagos	₦ 700,000	0.0	0.0	0.0
158	Obanikoro Palmgroove Shomolu Lagos	₦ 500,000	0.0	0.0	0.0
159	Off Luth Road Mushin Lagos	₦ 250,000	0.0	0.0	0.0
160	Mushin Lagos	₦ 120,000	0.0	0.0	0.0
161	Ikate Lekki Lagos	₦ 6,000,000	2.0	2.0	3.0
162	Lekki Phase 1 Ikate Lekki Lagos	₦ 8,000,000	3.0	3.0	3.0
163	Ologolo Lekki Lagos	₦ 6,500,000	4.0	4.0	5.0
164	Conservation Way Ikate Lekki Lagos	₦ 2,800,000	3.0	3.0	4.0
165	Lekki Phase 1 Lekki Lagos	₦ 6,500,000	1.0	1.0	2.0
166	No. 27 Alexandria Street Wuse 2 Abuja	₦ 50,000,000			
167	Unity Estate, Gbetu New Road Awoyaya Ajah Lagos	₦ 700,000	1.0	1.0	2.0
168	Lakowe Golf Ibeju Lekki Lagos	₦ 300,000	1.0	1.0	1.0
169	Sangotedo Ajah Lagos	₦ 900,000	1.0	1.0	2.0
170	Chevron Lekki Lagos	₦ 500,000	0.0	1.0	1.0
171	Chevron Lekki Lagos	₦ 900,000	0.0	1.0	1.0
172	Osborne Foreshore Estate Ikoyi Lagos	₦ 15,000,000	3.0	3.0	4.0
173	Phase 1 Osborne Foreshore Estate Ikoyi Lagos	₦ 6,000,000	2.0	2.0	3.0
174	Omole Phase 2 Ojodu Lagos	₦ 4,500,000	2.0	2.0	3.0
175	Osapa London Lekki Lagos	₦ 2,000,000	0.0	0.0	0.0
176	Platinum Way Jakande Lekki Lagos	₦ 6,000,000	3.0	4.0	4.0
177	Osapa London Lekki Lagos	₦ 2,500,000	0.0	0.0	0.0
178	Idado Lekki Lagos	₦ 3,500,000	3.0	3.0	4.0
179	Adeniyi Jones Ikeja Lagos	₦ 10,000,000	5.0	5.0	6.0
180	Osapa London Lekki Lagos	₦ 2,500,000	0.0	0.0	0.0
181	Oniru, Victoria Island Lagos	₦ 6,500,000	2.0	2.0	3.0
182	Fako Estate Oke Ira Ogba Lagos	₦ 1,200,000	2.0	3.0	3.0
183	Greenville Estate Badore Ajah Lagos	₦ 1,000,000	2.0	2.0	3.0
184	Ikate Lekki Lagos	₦ 2,400,000	1.0	1.0	1.0
185	Ikate Lekki Lagos	₦ 2,200,000	1.0	1.0	1.0
186	Seaside Badore Ajah Lagos	₦ 2,000,000	2.0	2.0	3.0
187	Royal Pine Estate Orchid Lekki Lagos	₦ 4,500,000	1.0	1.0	2.0
188	Peaceville Badore Ajah Lagos	₦ 1,500,000	2.0	2.0	3.0
189	Gerard Road Ikoyi Lagos	₦ 8,000,000	2.0	0.0	0.0
190	Local Government Office Axis Igbo Efon Lekki Lagos	₦ 1,100,000	1.0	1.0	1.0
191	Maple Signatures Estate Orchid Road Lekki Lagos	₦ 900,000	1.0	1.0	1.0
192	Yakoyo Alagbole Ojodu Lagos	₦ 700,000	1.0	1.0	2.0
193	Ikate Lekki Lagos	₦ 8,000,000	3.0	3.0	4.0
194	Maple Signatures Estate Orchid Road Lekki Lagos	₦ 950,000	1.0	1.0	1.0
195	Around The Local Government Office Axis Igbo Efon Lekki Lagos	₦ 1,000,000	1.0	1.0	1.0
196	Ashela Estate Ogombo Ajah Lagos	₦ 1,000,000	2.0	0.0	0.0
197	Igbo Efon Lekki Lagos	₦ 2,000,000	1.0	1.0	2.0
198	Morocco Abule Ijesha Yaba Lagos	₦ 1,000,000	1.0	1.0	2.0
199	Lawanson Surulere Lagos	₦ 1,000,000	1.0	2.0	2.0
200	Lawanson Surulere Lagos	₦ 1,100,000	1.0	2.0	2.0
201	Morocco Abule Ijesha Yaba Lagos	₦ 600,000	1.0	1.0	1.0
202	Off Mobil Road Ilaje Ajah Lagos	₦ 3,000,000	3.0	3.0	4.0
203	Lawanson Surulere Lagos	₦ 1,200,000	1.0	2.0	2.0
204	Ajah Lagos	₦ 3,500,000	2.0		
205	Onipanu Ikorodu Road(ilupeju) Ilupeju Lagos	₦ 1,200,000	1.0	2.0	2.0
206	Mushin Lagos	₦ 1,200,000	2.0	3.0	3.0
207	Lekki Phase 2 Lekki Lagos	₦ 4,500,000	3.0	3.0	4.0
208	Parkview Estate Ikoyi Lagos	₦ 7,000,000	3.0	3.0	3.0
209	Orchid Lekki Lagos	₦ 2,200,000	1.0	1.0	1.0
210	Jakande Lekki Lagos	₦ 6,000,000	3.0	3.0	4.0
211	Ikate Lekki Lagos	₦ 5,000,000	3.0	3.0	3.0
212	Maple Signature Estate Orchid Lekki Lagos	₦ 1,200,000	1.0	1.0	1.0
213	Maple Signature Estate Orchid Lekki Lagos	₦ 1,600,000	1.0	1.0	1.0
214	23, Faruk Aboaba Street Isheri North Ojodu Lagos	₦ 1,600,000	0.0	0.0	0.0
215	23, Faruk Aboaba Street Isheri North Ojodu Lagos	₦ 1,200,000	2.0	2.0	2.0
216	Adeshina Street, Marshy Hill Estate Ado Ajah Lagos	₦ 1,600,000	2.0	2.0	3.0
217	Orji Murray Street, Elevation Centre Axis ,salem Lekki Lagos	₦ 2,400,000	1.0	1.0	1.0
218	Carlton Gate Estate Akobo Ibadan Oyo	₦ 150,000,000	4.0	4.0	5.0
219	Maple Signature Estate Orchid Lekki Lagos	₦ 1,100,000	1.0	1.0	1.0
220	Maple Signature Estate Orchid Lekki Lagos	₦ 900,000	1.0	1.0	1.0
221	Maple Signature Orchid Lekki Lagos	₦ 950,000	1.0	1.0	1.0
222	Lawanson Surulere Lagos	₦ 600,000	1.0	1.0	1.0
223	Shonibare Estate Maryland Lagos	₦ 1,200,000	1.0	2.0	0.0
224	Morroco Shomolu Shomolu Lagos	₦ 600,000			
225	Abule Ijesha Abule Ijesha Yaba Lagos	₦ 1,500,000			
226	Oniru Victoria Island Lagos	₦ 10,000,000	3.0	3.0	3.0
227	Ologufe Off Lekki Epe Expressway Ajah Lagos	₦ 600,000	1.0	2.0	2.0
228	Ologufe Off Lekki Epe Expressway Ajah Lagos	₦ 800,000	2.0	2.0	3.0
229	Alagomeji Yaba Lagos	₦ 1,300,000			
230	Twice Street Off Ijesha Road Suruler Ijesha Surulere Lagos	₦ 1,000,000	3.0	1.0	1.0
231	Oniru Victoria Island Lagos	₦ 2,500,000	1.0	1.0	1.0
232	Gerard Road Ikoyi Lagos	₦ 8,000,000	2.0	2.0	3.0
233	Off Mobil Road Ilaje Ajah Lagos	₦ 1,800,000	3.0	3.0	4.0
234	Onike Yaba Lagos	₦ 2,000,000	3.0	3.0	3.0
235	Shomade Crescent Off Adeniran Ogunsanya Road Suruler Adeniran Ogunsanya Surulere Lagos	₦ 3,500,000	3.0	4.0	4.0
236	Palmgroove Ikorodu Road(ilupeju) Ilupeju Lagos	₦ 1,000,000	1.0	2.0	2.0
237	Ilasan Lekki Lagos	₦ 2,400,000	1.0	1.0	1.0
238	Salem Ikate Lagos Ilasan Lekki Lagos	₦ 2,200,000	1.0	1.0	1.0
239	Governors Road Ikotun Igando Lagos	₦ 900,000	8.0	3.0	3.0
240	Mercy Land Estate Ipaja Ipaja Lagos	₦ 850,000	2.0	3.0	3.0
241	Off Herbert Macaulay Way, Yaba, Lagos Yaba Lagos	₦ 1,500,000	2.0	2.0	2.0
242	Bourdillon Ikoyi Lagos	₦ 8,000,000	3.0	3.0	3.0
243	Chevron Lekki Lagos	₦ 1,500,000	0.0	0.0	0.0
244	Lekki Right Lekki Lagos	₦ 5,000,000	3.0	3.0	4.0
245	Ogombo Ajah Lagos	₦ 1,800,000	2.0	2.0	3.0
246	Banana Island Ikoyi Lagos	₦ 2,500,000	0.0	0.0	0.0
247	Osborne Phase 2 Ikoyi Lagos	₦ 8,000,000	0.0	4.0	5.0
248	Pedro Palmgroove Shomolu Lagos	₦ 1,200,000	1.0	1.0	1.0
249	Banana Island Ikoyi Lagos	₦ 25,000,000	4.0	4.0	0.0
250	Alagomeji Yaba Lagos	₦ 1,400,000	1.0	1.0	2.0
251	Onipanu Shomolu Lagos	₦ 600,000	0.0	1.0	1.0
252	Victoria Bay, Royal Pine Estate, Orchid Road Eleganza Bustop Lekki Lagos Lekki Phase 2 Lekki Lagos	₦ 800,000	0.0	1.0	1.0
253	Yaba Lagos	₦ 650,000	0.0	0.0	0.0
254	Royal Pine Estate Orchid Road Eleganza Bustop Lekki Phase 2 Lekki Lagos	₦ 900,000	0.0	1.0	1.0
255	Chevy View Estate, Chevron Drive Lekki Lagos	₦ 3,500,000	3.0	3.0	4.0
256	Grace Field By Orchid Road Eleganza Bustop Lekki Phase 2 Lekki Lagos	₦ 800,000	0.0	1.0	1.0
257	Yaba Lagos	₦ 700,000	0.0	0.0	0.0
258	Fadeyi Jibowu Yaba Lagos	₦ 50,000	0.0	1.0	1.0
259	Sabo Alagomeji Yaba Lagos	₦ 600,000	0.0	0.0	0.0
260	Banana Island Ikoyi Lagos	₦ 30,000,000	4.0	4.0	4.0
261	Chevron Lekki Lagos	₦ 1,100,000	1.0	1.0	1.0
262	Pedro Palmgroove Shomolu Lagos	₦ 1,200,000	1.0	1.0	1.0
263	Oniru Victoria Island Lagos	₦ 5,500,000	2.0	2.0	0.0
264	Royal Pine Estate Orchid Road Eleganza Bustop Lekki Phase 2 Lekki Lagos	₦ 1,500,000	0.0	1.0	1.0
265	Onipanu Shomolu Lagos	₦ 1,000,000	1.0	1.0	2.0
266	Off Pedro Palmgroove Shomolu Lagos	₦ 1,700,000	2.0	3.0	3.0
267	Alagomeji Sabo, Yaba Lagos	₦ 2,200,000	2.0	2.0	3.0
268	Royal Pine Gate 3, Orchid Road Eleganza Bustop Lekki Phase 2 Lekki Lagos	₦ 2,400,000	0.0	1.0	2.0
269	Alagomeji Sabo Yaba Lagos	₦ 3,500,000	3.0	3.0	4.0
270	First Unity Estate , Badore Badore Ajah Lagos	₦ 50,000	3.0	2.0	3.0
271	Alagomeji Sabo, Alagomeji Yaba Lagos	₦ 3,500,000	3.0	3.0	4.0
272	Ikate Lekki Lagos	₦ 5,500,000	3.0	0.0	4.0
273	Adekunle Alagomeji Yaba Lagos	₦ 1,300,000	1.0	1.0	2.0
274	Hakeem Dickson Street Lekki Lagos	₦ 2,000,000	0.0	0.0	0.0
275	Adekunle Yaba Lagos	₦ 1,300,000	1.0	2.0	2.0
276	Akoka Yaba Lagos	₦ 700,000	0.0	0.0	0.0
277	Off Herbert Macaulay Way Yaba Lagos	₦ 1,300,000	1.0	1.0	2.0
278	Yaba ,lagos Yaba Lagos	₦ 600,000	0.0	0.0	0.0
279	Sabo Alagomeji, Yaba Lagos	₦ 600,000	0.0	0.0	0.0
280	Abule Oja Abule Ijesha Yaba Lagos	₦ 600,000	1.0	1.0	1.0
281	Abule Ijesha Yaba Lagos	₦ 550,000	1.0	1.0	1.0
282	Ebute Meta Adekunle Yaba Lagos	₦ 2,500,000	2.0	2.0	3.0
283	Bridge Gate Estate Agungi Lekki Lagos	₦ 2,300,000	1.0	0.0	0.0
284	Fadeyi Onipanu Ikorodu Road(ilupeju) Ilupeju Lagos	₦ 1,500,000	2.0	3.0	3.0
285	Onipanu Shomolu Lagos	₦ 500,000	0.0	1.0	1.0
286	Palmgroove Shomolu Lagos	₦ 600,000	0.0	0.0	0.0
287	Onipanu Shomolu Lagos	₦ 500,000	0.0	0.0	0.0
288	Orchid Lekki Lagos	₦ 1,600,000	1.0	1.0	1.0
289	Apple Wood Estate Orchid Road Eleganza Bustop Lekki Phase 2 Lekki Lagos	₦ 1,500,000	1.0	1.0	2.0
290	Akoka Akoka Yaba Lagos	₦ 700,000	0.0	0.0	0.0
291	Royal Pine Estate Orchid Road Eleganza Bustop Lekki Phase 2 Lekki Lagos	₦ 700,000		1.0	1.0
292	Off Herbert Macaulay Way, Yaba Lagos	₦ 700,000	0.0	0.0	0.0
293	Orchid Road Eleganza Bustop Lekki Phase 2 Lekki Lagos	₦ 1,600,000	0.0	1.0	1.0
294	Yaba Lagos	₦ 550,000	0.0	0.0	0.0
295	Off Herbert Macaulay Way, Yaba, Lagos. Yaba Lagos	₦ 700,000	0.0	0.0	0.0
296	Off Masha Ogunlana Surulere Lagos	₦ 600,000	0.0	0.0	0.0
297	Yaba Lagos	₦ 400,000	0.0	0.0	0.0
298	Abule Ijesha Abule Oja Yaba Lagos	₦ 600,000	0.0	1.0	1.0
299	Morocco Shomolu Lagos	₦ 1,200,000	1.0	1.0	2.0
300	Jibowu Yaba Lagos	₦ 550,000	0.0	1.0	1.0
301	Yaba Lagos	₦ 400,000	0.0	0.0	0.0
302	Morrocco Shomolu Shomolu Lagos	₦ 1,000,000	1.0	1.0	2.0
303	Chevy View Estate, Chevron Drive Lekki Lagos Chevron Lekki Lagos	₦ 1,800,000	0.0	1.0	1.0
304	Bariga Shomolu Lagos	₦ 750,000	1.0	1.0	2.0
305	Fadeyi Jibowu Yaba Lagos	₦ 500,000	0.0	1.0	1.0
306	Palmgroove Ikorodu Road(ilupeju) Ilupeju Lagos	₦ 1,500,000	2.0	3.0	3.0
307	Chevy View Estate, Chevron Lekki Lagos	₦ 3,250,000	2.0	2.0	3.0
308	Victoria Island Lagos	₦ 24,000,000	3.0	3.0	4.0
309	Jibowu Yaba Lagos	₦ 900,000	0.0	0.0	0.0
310	Onipan Ikorodu Road(ilupeju) Ilupeju Lagos	₦ 600,000	1.0	1.0	1.0
311	Yaba Lagos	₦ 600,000	0.0	0.0	0.0
312	Adeola Odeku Victoria Island Lagos	₦ 18,000,000	3.0	3.0	3.0
313	Orchid Lekki Lagos	₦ 1,500,000	1.0	1.0	1.0
314	Jibowu Yaba Lagos	₦ 1,000,000	1.0	1.0	1.0
315	Onipanu Shomolu Lagos	₦ 600,000	0.0	1.0	1.0
316	Ilaje Bariga Shomolu Lagos	₦ 500,000	0.0	0.0	0.0
317	Ebute Meta Adekunle Yaba Lagos	₦ 2,000,000	2.0	2.0	3.0
318	Off Herbert Macaulay Way, Yaba, Lagos. Yaba Lagos	₦ 1,800,000	2.0	2.0	3.0
319	Alagomeji Yaba Lagos	₦ 2,000,000	2.0	2.0	3.0
320	Waec Jibowu Yaba Lagos	₦ 700,000	0.0	1.0	1.0
321	Yaba Lagos	₦ 1,500,000	2.0	2.0	3.0
322	Close To Nnpc Guzape Abuja	₦ 500,000,000	6.0	6.0	7.0
323	Palmgroove Shomolu Lagos	₦ 800,000	1.0	0.0	0.0
324	Fadeyi Jibowu Yaba Lagos	₦ 600,000	0.0	1.0	1.0
325	Victoria Bay Estate Orchid Road Eleganza Bustop Lekki Lagos Lekki Lagos	₦ 950,000	0.0	1.0	1.0
326	Palmgroove Ikorodu Road(ilupeju) Ilupeju Lagos	₦ 2,000,000	2.0	3.0	3.0
327	Alagomeji Yaba Lagos	₦ 600,000	1.0	1.0	1.0
