Apartment _Type,Price,Beds,Baths,Toilets,Location,Description
4 BEDROOM HOUSE FOR RENT,8000000,4,5,5,Victoria Island,Serviced Newly BuiltFOR RENT Fully Furnished Self Serviced 4 Bedroom Duplex plus bq located i..
3 BEDROOM COMMERCIAL PROPERTY FOR RENT,8000000,3,4,4,Victoria Island,Serviced Newly BuiltTo Let Commercial Purposely Built 3 Bedroom Apartment with all Rooms En-suite..
5 BEDROOM HOUSE FOR RENT,20000000,5,5,6,Ikoyi,Tastefully Finished 5 Bedroom Detached House with a Mini flat Bq For Rent. Re..
4 BEDROOM FLAT / APARTMENT FOR RENT,11000000,4,5,5,Victoria Island,Serviced Newly BuiltTo Let 4 bedroom flat plus 2 rooms BQs to let Off Sanusi Fafunwa Street ..
5 BEDROOM HOUSE FOR RENT,6500000,5,6,6,Ajah,Serviced Newly BuiltTo Let Elegantly Built Spacious 5 bedrooms Semi Detached Duplex with 1 bedroo..
2 BEDROOM FLAT / APARTMENT FOR RENT,1500000,2,2,3,Isolo,"2 Bedroom All Ensuite apartment in a call-in Estate Rent: N1,500,000 Upstairs .."
3 BEDROOM HOUSE FOR RENT,5500000,3,3,5,Lekki,Newly Built4 Bedroom Semi-Detached With A Room Staff Quarter For Rent Location: Oral Est..
1 BEDROOM,600000,1,1,1,Shomolu,"Furnished Newly BuiltExecutive, very decent and standard room self Contain in shomolu with kitc.."
3 BEDROOM,5000000,4,4,5,Lekki,"4 Bedroom Semi Detached House With A Bq For Rent Location: Oral Estate, Lekki.."
3 BEDROOM,2000000,3,3,4,Ajah,Newly BuiltNewly Built 3 Bedroom apartment off Abraham Adesanya Estate Ajah Lagos state. ..
3 BEDROOM,7000000,3,3,4,Lekki,3 Bedroom with BQ Furnished Apartment for rent in Oniru.(SELF SERVICE). Rent ..
4 BEDROOM,7500000,4,4,5,Ajah,THIS MUST GO THIS WEEK BY GOD GRACE URGENT LEASE Semi Direct Instructions ..
MINIFLAT,500000,1,1,1,Ajah,One room self contained apartment at seaside Estate Badore Ajah Lagos Rent 500k..
3 BEDROOM,700000,3,3,4,Victoria Island,A Magnificently Spacious 3 BEDROOM Flat with (Concrete Ceiling) including Vi..
2 BEDROOM,500000,2,2,3,Ajah,A 2 BEDROOM Flat with (Concrete Ceiling) & Prepaid Meter TO LET at AWOYAYA In..
1 BEDROOM,450000,1,1,1,Surulere,Freshly Out As E Dey Hot!!!! A Very Clean & Spacious 1 BEDROOM (Mini Flat) ..
4 BEDROOM HOUSE FOR RENT,4000000,4,4,5,Ajah,"Newly Built4 Bedroom Terrace Duplex Conner piece For Rent Price: 4,000,000 Caution: 400.."
1 BEDROOM,400000,1,1,1,Ikeja,TO LET STANDARD ROOM SELF CONTAIN AT OKE IRA OGBA LAGOS RENT 400K PER ANNUM ..
5 BEDROOM HOUSE FOR RENT,11000000,5,5,6,Lekki,*TO LET* *A 5 BEDROOM DETACHED DUPLEX WITH 2 LIVING ROOMS IN A COOL CALM ENVIRO..
1 BEDROOM,96000,1,1,1,Surulere,TO LET STANDARD SINGLE ROOM AT ITIRE SURULERE LAGOS RENT 96K PER ANNUM REGIS..
1 BEDROOM,144000,1,1,1,Surulere,TO LET STANDARD SINGLE ROOM WITH TILES AT ITIRE SURULERE LAGOS RENT 144K PER A..
4 BEDROOM HOUSE FOR RENT,6000000,4,4,5,Lekki,Serviced Newly BuiltService 5 bedroom terrace duplex All room ensuit Modern bathroom and toilets ..
3 BEDROOM HOUSE FOR RENT,3500000,3,3,4,Lekki,"Newly BuiltNewly built 3 bedroom terrace duplex with a maid room at Chevy view estate, chev.."
3 BEDROOM FLAT / APARTMENT FOR RENT,15000000,3,3,4,Ikoyi,"Luxury 3 bedroom flat + bq, swimming pool Location-off banana island rd ikoyi .."
3 BEDROOM HOUSE FOR RENT,6000000,3,3,4,Ikoyi,LUXURY 3 Bedroom Semi detached Duplex with BQ Available for Rent LOCATION-in ..
2 BEDROOM FLAT / APARTMENT FOR RENT,1500000,2,3,3,Yaba,Newly BuiltNewly built and lovely 2 bedroom flat for rent in a secured and lovely estate ar..
3 BEDROOM FLAT / APARTMENT FOR RENT,15000000,3,3,4,Ikoyi,"Luxury 4 units of 3 Bedroom Apartment + BQ Location- Off Glover Road, Ikoyi. .."
4 BEDROOM HOUSE FOR RENT,5000000,4,4,5,Lekki,"4 Bedroom Semi Detached Duplex For Rent Price: 5,000,000 Caution: 650,000 L.."
1 BEDROOM FLAT / APARTMENT FOR RENT,1500000,1,2,2,Ajah,Newly BuiltTopnoch and newly built mini flat for rent in a secured and lovely estate around..
1 BEDROOM,700000,1,1,1,Ajao Estate,Newly BuiltTopnoch newly built self contain for rent in a secured and lovely estate around ..
4 BEDROOM HOUSE FOR RENT,6500000,4,4,5,Lekki,"Newly Built4 Bedroom Semi Detached Duplex For Rent Price: 6,500,000 Caution: 650,000 .."
1 BEDROOM FLAT / APARTMENT FOR RENT,1800000,1,1,1,Ikeja,1 bedroom Flat / Apartment for rent Alausa Ikeja Lagos..
1 BEDROOM FLAT / APARTMENT FOR RENT,1000000,1,1,1,Magodo,"Studio/Self-Contain Apartment For Rent Price: 1,000,000 Caution: 100,000 .."
4 BEDROOM HOUSE FOR RENT,4500000,4,4,5,Ajah,"4 BEDROOM TERRACE DUPLEX FOR RENT!!! Location: Ikota, Lagos Rent: 4.5m per.."
4 BEDROOM HOUSE FOR RENT,4500000,4,4,5,Lekki,"4 Bedroom Terrace Duplex for Rent!!! 4 Bed, 4 Baths Orchid Road, Lekki,.."
1 BEDROOM FLAT / APARTMENT FOR RENT,1600000,1,1,2,Lekki,One bedroom in Chevron Rent 1.6m Legal :10% Caution:10% Agency :10% Self..
4 BEDROOM HOUSE FOR RENT,4000000,4,4,5,Magodo,AVAILABLE  4 bedroom newly painted semi detached duplex in Magodo Ph..
3 BEDROOM HOUSE FOR RENT,3500000,3,3,4,Magodo,"Newly Built3 bedroom duplex in Magodo phase 1 A new house, self compound for 3.5m yearly.."
6 BEDROOM HOUSE FOR RENT,15000000,6,6,7,Lekki,TO LET Luxury & Exquisitely Finished 6 Bedroom Detached House with BQ and Stu..
3 BEDROOM FLAT / APARTMENT FOR RENT,1400000,3,2,2,Ajah,"Spacious 3 Bedroom Apartment For Rent at Hopeville Estate, Sangotedo, Lagos. .."
1 BEDROOM FLAT / APARTMENT FOR RENT,1100000,1,1,2,Ajah,"Newly BuiltNewly Built 1 Bedroom Apartment available for rent at Maroko, off Mobil Road, A.."
1 BEDROOM FLAT / APARTMENT FOR RENT,850000,1,1,1,Lekki,ServicedVery Spacious a room self contained available for rent at Eleganza Gardens (Oppo..
2 BEDROOM FLAT / APARTMENT FOR RENT,1800000,3,3,4,Ilupeju,"Very decent 3bedroom flat ensuite with POP kitchen with cabinets and store, ward.."
1 BEDROOM FLAT / APARTMENT FOR RENT,400000,1,1,1,Alakuko,TO LET Newly built mini flat all round tiles fgw with pop Location….Alakuko..
2 BEDROOM FLAT / APARTMENT FOR RENT,850000,2,2,3,Ikotun,"SUPER CLEAN 2 BEDROOM FLAT POP ALL ROUND FULLY PAINTED WHITE, N850K PER ANNUM .."
1 BEDROOM FLAT / APARTMENT FOR RENT,1300000,1,1,2,Palmgrove,"TO LET Standard Miniflat with 2toilets pop finished, kitchen cabinets and wadro.."
3 BEDROOM FLAT / APARTMENT FOR RENT,1300000,3,3,4,MaryLand,"A well finished and very spacious 3bedroom flat all ensuite with POP, dinning a.."
3 BEDROOM FLAT / APARTMENT FOR RENT,3500000,3,3,3,Yaba,Just out FOR RENT!! Spacious modern 3 bedroom flat for rent @ Alagomeji yaba la..
4 BEDROOM,1200000,4,4,5,Okota,Newly BuiltRent a Standard Shop along Ago Palace Way Okota very big shop with prepaid meter..
4 BEDROOM HOUSE FOR RENT,4500000,4,4,5,Lekki,*TO LET* Fully Serviced 4 bedroom Semi-Detached Duplex. Location: Royal Pi..
4 BEDROOM HOUSE FOR RENT,4500000,4,4,5,Ajah,"ServicedIkota gra Rent- 4,500M SC- 500k Agency- 10% Legal - 5% Causion- 400k.."
1 BEDROOM,750000,1,1,1,Onipanu,Rent 750k Agency 75k Legal 75k Caution 75k ..
STUDIO APARTMENT,1200000,1,1,1,Lekki,"Location, Igboefon, Lekki. Description: House is fitted with a Water.."
1 BEDROOM,800000,1,1,1,Lekki,Rent 900k Agency 90k Legal 90k Caution 90k..
1 BEDROOM,500000,1,1,1,Ajao Estate,Rent 500k..
STUDIO APARTMENT,1200000,1,1,1,Ajah,Size of unit - Studio Apartment Location: Igbo efon Description: House ..
1 BEDROOM,700000,1,1,1,Yaba,Rent 650k Service charge 120k yearly Agency 65k Legal 65k Caution 50k..
STUDIO APARTMENT,900000,1,1,1,Bariga,Rent 900k Service charge 150k Agency 90k Legal 90k Caution 90k Essi..
STUDIO APARTMENT,900000,1,1,1,Folagoro,Rent 900k Agency 90k Legal 90k Caution 90k..
1 BEDROOM,950000,1,1,1,Oshodi,Rent 950k Agency 95k Legal 95k Caution 100k Service charge 200k ..
