Apartment _Type,Price,Beds,Baths,Toilets,Location,Description
4 BEDROOM,9000000,4,5,5,Victoria Island,LETTING 38sqm office space for rent on Adeola Odeku street Victoria island (..
4 BEDROOM HOUSE FOR RENT,5000000,4,4,5,Ajah,"4 bedroom semi detached duplex for rent at lekki palm city estate, Ajah. Rent 5.."
3 BEDROOM,2500000,3,3,3,Ajah,"A SUPERB LOVELY 3BEDROOM FLAT, ALL ROOMS ENSUITE, POP FINISHING, ALL ROUND TILES.."
3 BEDROOM HOUSE FOR RENT,4000000,3,3,3,Ikoyi,A 3 bedroom semi-detached duplex for rent. 3 Bedroom Semi-Detached Duplex for Re..
4 BEDROOM HOUSE FOR RENT,7500000,4,4,5,Ikoyi,Serviced Newly Built2 years payment Serene environment Fitted kitchen All rooms ensuite Spaci..
4 BEDROOM HOUSE FOR RENT,10000000,4,4,5,Victoria Island,"ServicedLocation: VI, Lagos ° 11 Rent: 10m per annum Other Charges: -Agency: 10% -Le.."
3 BEDROOM COMMERCIAL PROPERTY FOR RENT,8000000,3,3,4,Lekki,FOR LEASE: (Office Use) Description: 3 Bedroom flat no BQ (All rooms en-suite..
4 BEDROOM HOUSE FOR RENT,12000000,4,5,5,Lekki,Furnished Serviced Newly BuiltTO LET 4 bedroom terrace duplex with a room Bq available for rent. Locatio..
4 BEDROOM HOUSE FOR RENT,4500000,4,4,5,Lekki,"Newly BuiltTASTEFULLY FINISHED 4 BEDROOM SEMI DETACHED DUPLEX for rent at Orchid Road, Lekk.."
1 BEDROOM FLAT / APARTMENT FOR RENT,2800000,1,1,2,Bariga,Serviced Newly BuiltSerene environment Spacious living room All rooms ensuite Fitted kitchen ..
2 BEDROOM FLAT / APARTMENT FOR RENT,2500000,2,2,3,Lekki,To Let: Service 2bedroom flat downstairs. Located inside Idado Estate. Lekki ..
6 BEDROOM HOUSE FOR RENT,6000000,6,6,7,Lekki,6 bedroom fully detached duplex for rent on full plots of land at lagoon view es..
1 BEDROOM,420000,1,1,1,Yaba,4man room to let at Abule oja yaba. Per person 420k Agency 150k ACHU-JOSH26..
4 BEDROOM HOUSE FOR RENT,23000000,4,4,5,Ikoyi,4 bedroom House for rent Banana Island Ikoyi Lagos..
1 BEDROOM HOUSE FOR RENT,1700000,1,1,2,Lekki,Newly BuiltMini flat for Rent. Location:Orchid Rent:#1.7m. Caution:10% Agreement:10..
3 BEDROOM HOUSE FOR RENT,2100000,3,3,3,Ikotun,Serviced*LETTING JUST OUT* 3 bedroom Flat Standard Very Big Upstairs Personal ..
4 BEDROOM HOUSE FOR RENT,12000000,4,4,5,Lekki,Serviced4Bedroom fully detached house with bq at lekki phase 1 Lagos State Features -..
2 BEDROOM HOUSE FOR RENT,2000000,2,2,3,Yaba,Newly BuiltTO LET Sophisticated and Tastefully Finished 2 bedroom flat with very massive..
4 BEDROOM HOUSE FOR RENT,4000000,4,4,4,Lekki,Newly BuiltA newly built 4 bedroom semi-detached duplex for rent. Apartment for rent/ Apart..
5 BEDROOM HOUSE FOR RENT,10000000,5,5,6,Ikoyi,Rent ..#10m Agency ..#1m Legal..#1m Caution.#800k Sc ..#1275000 Diesel depo..
3 BEDROOM FLAT / APARTMENT FOR RENT,9500000,3,3,3,Victoria Island,Furnished ServicedFurnished 3 bedroom apartment available for rent at 1004 Estate Victoria Island ..
STUDIO APARTMENT,1400000,1,1,2,Ilupeju,Serviced Newly BuiltJUST OUT!!! Serviced Studio Apartment for rent with Open Plan Kitchen and Ba..
4 BEDROOM HOUSE FOR RENT,3800000,4,4,5,Palmgrove,Spacious 4 bedroom semi detached Serviced house with 247 Electricty Locati..
3 BEDROOM FLAT / APARTMENT FOR RENT,15000000,3,3,4,Ikoyi,ServicedA luxury and spacious 3 bedroom apartment in Banana Island road..
1 BEDROOM FLAT / APARTMENT FOR RENT,1200000,1,1,1,Lekki,Newly Built*THE LUXURIOUS SHARED APARTMENT @ lekki county Westend estate * *Master..
2 BEDROOM FLAT / APARTMENT FOR RENT,4000000,2,2,3,Lekki,ServicedDirect brief Relatively new serviced 2 bedroom apartment upstairs in a mini est..
3 BEDROOM FLAT / APARTMENT FOR RENT,5000000,3,3,4,Lekki,ServicedA clean 3 bedroom apartment in a serene environment in Chevyview estate..
5 BEDROOM HOUSE FOR RENT,8000000,5,5,6,Lekki,5 bedroom House for rent chevron Lekki Lagos..
2 BEDROOM FLAT / APARTMENT FOR RENT,1100000,2,2,3,Ikoyi,Newly BuiltNewly built 2 bedroom all rooms ensuits upstairs 1.2 and downstairs 1.1 per Annu..
1 BEDROOM FLAT / APARTMENT FOR RENT,900000,1,1,1,Ajah,"Newly built Mini flat located in a good estate, Walkable distance to the expre.."
5 BEDROOM HOUSE FOR RENT,20000000,5,5,6,Lekki,Exotic 5 bedroom detached house at Lekki phase 1 Rent: 20M per annum Agenc..
1 BEDROOM FLAT / APARTMENT FOR RENT,3000000,1,1,2,Ikeja,Furnished Newly BuiltBrand New Mini Flat with an open kitchen in a Serene Estate Rent: 3M Agen..
4 BEDROOM HOUSE FOR RENT,35000000,4,4,5,Ikoyi,Serviced4 bedroom terrace for rent in a serene environment at the prestigious Banana Isl..
4 BEDROOM HOUSE FOR RENT,12000000,4,4,5,Ikoyi,"ServicedTASTEFULLY BUILT AND SERVICED 4 BEDROOM MAISONETTE WITH 24 HOUR POWER, SWIMMING .."
4 BEDROOMS,5000000,4,4,5,Lekki,4 bedroom fully detached duplex with a room Bq Location osapa London Rent 5m..
STUDIO APARTMENT,700000,1,1,1,Ilupeju,"Fresh Update A Newly Built Exquisitely Finished Studio Apartment, Very Spacious.."
3 BEDROOM HOUSE FOR RENT,3500000,3,3,4,MaryLand,"ServicedA Fantastic 3 BEDROOM SERVICED APARTMENT at MARYLAND with BQ: *RENT: N3.5m, Serv.."
5 BEDROOM HOUSE FOR RENT,10000000,5,5,6,Ikeja,Newly BuiltTO LET: 5 BEDROOM FULLY DETACHED DUPLEX FOR SALE AT OMOLE PHASE 2 WITH A ROOM..
1 BEDROOM FLAT / APARTMENT FOR RENT,550000,1,1,2,Folagoro,Furnished Serviced6months rent shared apartment Rent 550k Agency 100k Legal 60k Caution 60k ..
2 BEDROOM HOUSE FOR RENT,1200000,2,2,3,Ikeja,Beautiful 2 bedroom in a peaceful and secure estate With just 4 flats in the com..
3 BEDROOM,13000000,3,3,4,Ikoyi,Furnished Serviced Newly BuiltJUST OUT!!! Brand New Luxury 3 Bedroom Apartments for rent with Fully Fitted..
2 BEDROOM,3000000,2,2,3,Ajah,Serviced Newly BuiltService two bedroom for rent at ologolo Rent 3m Service charge 700k Caution ..
3 BEDROOM HOUSE FOR RENT,3000000,3,3,4,Ikeja,TO LET An Exotic and Luxurious modernly Finished 3 bedroom flat with all room..
2 BEDROOM FLAT / APARTMENT FOR RENT,3000000,2,2,3,Lekki,Neatly used 2 bedroom apartment Located in ikate Elegushi Seren environment..
3 BEDROOM HOUSE FOR RENT,25000000,3,3,4,Ikoyi,TO LET 3 BEDROOM TERRACE DUPLEX FOR RENT !!! ( RESIDENTIAL PURPOSE ONLY ) ..
1 BEDROOM FLAT / APARTMENT FOR RENT,1500000,1,1,2,Ikeja,AVAILABLE FOR LETTING: Lovely and standard Mini flat apartment with 2 toilets..
4 BEDROOM FLAT / APARTMENT FOR RENT,4000000,4,4,4,Gbagada,*To Let* 4 bedroom semi detached duplex at PG estate Ifako gbagada lagos *4M..
2 BEDROOM FLAT / APARTMENT FOR RENT,3500000,2,2,3,Lekki,Serviced2 bedroom Flat / Apartment for rent Agungi Lekki Lagos Serene environment Fitt..
1 BEDROOM FLAT / APARTMENT FOR RENT,2300000,1,1,1,Gbagada,Serviced Newly BuiltJUST OUT!!! Brand New Luxury Spacious Semi-master’s Bedroom for rent with W..
1 BEDROOM FLAT / APARTMENT FOR RENT,1500000,1,1,1,Gbagada,Serviced Newly BuiltJUST OUT!!! Fully Serviced Spacious Studio Apartment for rent with Walk-in w..
1 BEDROOM FLAT / APARTMENT FOR RENT,700000,1,1,1,Victoria Island,Serviced Newly BuiltJUST OUT!!! Fully Serviced Self-contain for rent with Shared kitchen in Vict..
1 BEDROOM,650000,1,1,1,Lekki,*MY DIRECT* Boys quarter in ikate/ still available maleoccupant preferred/ ..
4 BEDROOM HOUSE FOR RENT,3500000,4,4,5,Lekki,4 Bedroom Semi Detached Duplex @ lekki for commercial or residential Rent : ..
4 BEDROOM HOUSE FOR RENT,7000000,4,5,5,Ikoyi,FOR SALE!!! 4BED SEMI-DETACHED DUPLEX + BQ!!! FEATURES: ..
1 BEDROOM FLAT / APARTMENT FOR RENT,1300000,1,1,1,Lekki,2bedroom shared apartment Elf Petrocam filling station Rent 1.3m Service ch..
4 BEDROOM HOUSE FOR RENT,3500000,4,4,5,Lekki,"Spacious 4 bedroom Semi-Detached Duplex, Well finished House For Rent Locate.."
3 BEDROOM FLAT / APARTMENT FOR RENT,13000000,3,3,4,Ikoyi,"Serviced Newly BuiltNewly built 3bedroom apartments with Bq, swimming pool and gym Rent: 13m per.."
3 BEDROOM FLAT / APARTMENT FOR RENT,3500000,3,3,4,Yaba,"FurnishedSpacious modern 3 bedroom flat for rent @ Alagomeji yaba lagos, Features - A/C.."
3 BEDROOM FLAT / APARTMENT FOR RENT,3500000,3,3,4,Surulere,Newly BuiltA nice and standard 3 bedroom apartment in a serene and quite environment Comes ..
1 BEDROOM FLAT / APARTMENT FOR RENT,200000,1,1,1,Isolo,1 bedroom Flat / Apartment for rent Oke Afa Isolo Lagos Mainland Isolo Lagos..
2 BEDROOM HOUSE FOR RENT,450000,2,2,2,Ikotun,"Just in 2 Bedroom Flat Apartment Fence, Gate and Water Tiles Location .."
2 BEDROOM FLAT / APARTMENT FOR RENT,1200000,2,2,2,Isolo,Executive 2bed Rooms Flat House in Isolo Ajao estate. Good road secured environm..
1 BEDROOM FLAT / APARTMENT FOR RENT,150000,1,1,1,Isolo,Renovated Room nd parlor self contained all tiles floor 9ice kitchen with cabine..
1 BEDROOM FLAT / APARTMENT FOR RENT,450000,1,1,1,Ikotun,Just in!!!!!!!!!!!!!! Mini flat to let in a good location big and standard ..
4 BEDROOM HOUSE FOR RENT,8000000,4,5,5,Ikeja,It's a luxury 4 bedroom fully detached duplex plus Bq in an estate Locatio..
2 BEDROOM FLAT / APARTMENT FOR RENT,500000,2,2,2,Isolo,Newly BuiltNewly built 2 bedroom flat pop ceiling 9ice kitchen with cabinets big compound f..
3 BEDROOM FLAT / APARTMENT FOR RENT,8000000,3,3,3,Lekki,ServicedLuxury 3 Bedroom Apartment with swimming pool and Gym suitable for Airbnb in the..
3 BEDROOM HOUSE FOR RENT,3200000,3,3,4,Lekki,Serviced3 BEDROOM TERRACE DUPLEX LOCATED AT IKOTA VILLA + A MINI ROOM/STORE Rent- 3.2..
2 BEDROOM FLAT / APARTMENT FOR RENT,6000000,2,3,3,Lekki,ServicedVery Spacious 2 Bedroom Apartment with Bq For Rent !!! Unfurnished. ( 3rd floo..
4 BEDROOM HOUSE FOR RENT,11500000,4,4,5,Ikoyi,"Serviced Newly BuiltSERVICED 4 BEDROOM MAISONETTE G-UNIT SWIMMING POOL, HOUSE FOR RENT Location:.."
4 BEDROOM HOUSE FOR RENT,5000000,4,5,5,Lekki,Newly built 4 units of 4 bedroom terrace with 1 room bq ground-floor to let Or..
4 BEDROOM HOUSE FOR RENT,12000000,4,5,5,Lekki,ServicedLuxurious and Fully serviced 4 Bedroom Terraced Duplex and a room bq with commun..
4 BEDROOM HOUSE FOR RENT,10000000,4,4,4,Ikoyi,Discounted lease. 2nos Fully detached 4 bedroom duplex + maid quarters along..
1 BEDROOM FLAT / APARTMENT FOR RENT,130000,1,1,1,Igando,Just in!!!!!!!!! A ROOM two-to-share TOILET and KITCHEN in a Flats compound. ..
3 BEDROOMS,3500000,3,3,4,Yaba,Just out FOR RENT!! Spacious modern 3 bedrooms flat for rent @ Alagomeji yaba l..
2 BEDROOM FLAT / APARTMENT FOR RENT,1500000,2,2,3,Ilupeju,Newly BuiltJUST OUT VERY LOVELY STANDARD NEWLY BUILT 2BED ROOM FLAT LONDON TILES TREATED BO..
4 BEDROOM FLAT / APARTMENT FOR RENT,400000,4,4,4,Igando,Standard alone in compound 4 bedroom bungalow big compound 9ice kitchen with cab..
3 BEDROOM FLAT / APARTMENT FOR RENT,2000000,3,3,3,Isolo,Tastesfully built 3 bedroom flat pop ceiling with pop TV console big kitchen wit..
1 BEDROOM FLAT / APARTMENT FOR RENT,200000,1,1,1,Ikoyi,standard Park-out mini flat very Specious dinning fenced gate water tiles floor..
3 BEDROOM HOUSE FOR RENT,6000000,3,3,5,Lekki,Serviced*TO LET* 3 bedroom serviced apartment with Bq @ Lekki Phase 1. RENT: N6m/annum..
1 BEDROOM FLAT / APARTMENT FOR RENT,130000,1,1,1,Iyana-Ipaja,Room and parlor self contained all tiles floor @ Golden green Itele 130k per ann..
1 BEDROOM FLAT / APARTMENT FOR RENT,1500000,1,2,2,Yaba,Furnished1 bedroom Flat / Apartment for rent Alagomeji Yaba Lagos..
3 BEDROOM FLAT / APARTMENT FOR RENT,4000000,3,3,4,Lekki,"Well maintained 3 bedroom flat at dele ogunbowale street, lekki lagos. Rent :.."
1 BEDROOM FLAT / APARTMENT FOR RENT,100000,1,1,1,Ayobo,Newly BuiltNeat newly built Room self contain all tiles floor with toilet kitchen outside c..
4 BEDROOM HOUSE FOR RENT,7500000,4,4,5,Lekki,"Lovely 4 Bedroom Semi Detached Duplex Location: Ilasan, Lekki Pri.."
1 BEDROOM FLAT / APARTMENT FOR RENT,130000,1,1,1,Iyana-Ipaja,Renovated spacious Room nd parlor self contained big compound no landlord fenced..
1 BEDROOM FLAT / APARTMENT FOR RENT,900000,1,1,1,Ikotun,Nice mii flat available for rent to a decent tenant Rent 900 Legal 90 Agen..
4 BEDROOM HOUSE FOR RENT,5500000,4,4,5,Lekki,4 BEDROOM SEMI-DETACHED DUPLEX AT OSAPA LONDON Rent- 5.5m Legal- 10% Agency..
3 BEDROOM FLAT / APARTMENT FOR RENT,2000000,3,3,4,Ajah,Well maintained 3 Bedroom flat apartment in an Estate Sangotedo Ajah Lagos Re..
4 BEDROOM HOUSE FOR RENT,5500000,4,4,4,Lekki,ServicedSpacious 4 bedroom semi detached duplex Rent5.5MX2years required Sc.1.4M Le..
3 BEDROOM FLAT / APARTMENT FOR RENT,400000,3,3,3,Ayobo,spacious standard 3 bedroom flat upstairs all tiles floor big compound fenced ga..
1 BEDROOM FLAT / APARTMENT FOR RENT,900000,1,2,2,Ketu,Furnished Newly Built1 bedroom Flat / Apartment for rent Alapere Kosofe/Ikosi Lagos..
1 BEDROOM FLAT / APARTMENT FOR RENT,2300000,1,1,1,Lekki,LEKKI PHASE ONE Direct brief Super fully serviced apartment upstairs Be..
1 BEDROOM FLAT / APARTMENT FOR RENT,400000,1,1,1,Oshodi,"Just in!!!!!!!!! Decent Room and Parlor Self contain Fence, Gate and Wate.."
3 BEDROOM FLAT / APARTMENT FOR RENT,6000000,3,4,4,Lekki,Serviced3 BEDROOM APARTMENT WITH BQ FOR RENT Location: Lekki phase 1 Lagos Rent:..
2 BEDROOM HOUSE FOR RENT,550000,2,2,2,Shomolu,Just in!!!!!!!!!!! A Spacious 2 Bedroom With 3 t/b Is Available For Rent P..
3 BEDROOM FLAT / APARTMENT FOR RENT,2300000,3,3,4,MaryLand,Neatly used 3 bedroom flat available for rent. Ground floor Rent 2.3 Legal 2..
4 BEDROOM HOUSE FOR RENT,8000000,4,5,5,Victoria Island,4 BEDROOM SEMI DETACHED DUPLEX WITH A STUDY AND A BQ FOR RENT. ( Self service) ..
4 BEDROOM HOUSE FOR RENT,7500000,4,4,5,Lekki,Serviced Newly BuiltTO LET.: 4 units of 4 bedroom semi-detached l| lkate |1 7.5 million 4 units of..
4 BEDROOM HOUSE FOR RENT,20000000,4,5,5,Victoria Island,Furnished Serviced Newly BuiltFOR RENT - DECENT & SPACIOUS 4 BEDROOM FULLY FURNISHED SEMI DETACHED DUPLEX WITH..
